paper,year,link
"S. Abnar and W. Zuidema. Quantifying attention flow in transformers. In D. Jurafsky, J. Chai, N. Schluter, and
J. Tetreault (eds.), Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,
pp. 4190–4197, Online, July 2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.acl
-main.385. URL https://aclanthology.org/2020.acl-main.385.",2020,https://aclanthology.org/2020.acl-main.385.
"R. Achtibat, S. M. V. Hatefi, M. Dreyer, A. Jain, T. Wiegand, S. Lapuschkin, and W. Samek. AttnLRP:
Attention-aware layer-wise relevance propagation for transformers, 2024.",2024,
"J. Adebayo, J. Gilmer, M. Muelly, I. Goodfellow, M. Hardt, and B. Kim. Sanity checks for saliency maps. In
Proceedings of the 32nd International Conference on Neural Information Processing Systems, NIPS’18, pp.
9525–9536, Red Hook, NY, USA, 2018. Curran Associates Inc.",2018,
"J. Adebayo, M. Muelly, I. Liccardi, and B. Kim. Debugging tests for model explanations. In Proceedings of the
34th International Conference on Neural Information Processing Systems, NIPS’20, Red Hook, NY, USA,
2020. Curran Associates Inc. ISBN 9781713829546.",2020,
"J. Adebayo, M. Muelly, H. Abelson, and B. Kim. Post hoc explanations may be ineffective for detecting
unknown spurious correlation. In International Conference on Learning Representations, 2022. URL http
s://openreview.net/forum?id=xNOVfCCvDpM.",2022,"http
s://openreview.net/forum?id=xNOVfCCvDpM."
"C. Agarwal, S. H. Tanneru, and H. Lakkaraju. Faithfulness vs. plausibility: On the (un)reliability of explanations from large language models. ArXiv, abs/2402.04614, 2024. URL https://api.semanticscholar.
org/CorpusID:267523276.",2024,"https://api.semanticscholar.
org/CorpusID:267523276."
"A. Ahmadian, S. Dash, H. Chen, B. Venkitesh, Z. S. Gou, P. Blunsom, A. Üstün, and S. Hooker. Intriguing
properties of quantization at scale. In Thirty-seventh Conference on Neural Information Processing Systems,
2023. URL https://openreview.net/forum?id=IYe8j7Gy8f.",2023,https://openreview.net/forum?id=IYe8j7Gy8f.
"E. Akyurek, T. Bolukbasi, F. Liu, B. Xiong, I. Tenney, J. Andreas, and K. Guu. Towards tracing knowledge
in language models back to the training data. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Findings
of the Association for Computational Linguistics: EMNLP 2022, pp. 2429–2446, Abu Dhabi, United Arab
Emirates, December 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.findings-e
mnlp.180. URL https://aclanthology.org/2022.findings-emnlp.180.",2022,https://aclanthology.org/2022.findings-emnlp.180.
"E. Akyürek, D. Schuurmans, J. Andreas, T. Ma, and D. Zhou. What learning algorithm is in-context learning?
investigations with linear models. In The Eleventh International Conference on Learning Representations,
2023. URL https://openreview.net/forum?id=0g0X4H8yN4I.",2023,https://openreview.net/forum?id=0g0X4H8yN4I.
"E. Akyürek, B. Wang, Y. Kim, and J. Andreas. In-context language learning: Architectures and algorithms,
2024.",2024,
"G. Alain and Y. Bengio. Understanding intermediate layers using linear classifier probes. Arxiv, 2016. URL
https://arxiv.org/abs/1610.01644.",2016,https://arxiv.org/abs/1610.01644.
"J. Alammar. Ecco: An open source library for the explainability of transformer language models. In H. Ji,
J. C. Park, and R. Xia (eds.), Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing: System Demonstrations, pp. 249–257, Online, August 2021. Association for Computational Linguistics. doi:
10.18653/v1/2021.acl-demo.30. URL https://aclanthology.org/2021.acl-demo.30.",2021,https://aclanthology.org/2021.acl-demo.30.
"A. Ali, T. Schnake, O. Eberle, G. Montavon, K.-R. Müller, and L. Wolf. XAI for transformers: Better
explanations through conservative propagation. In K. Chaudhuri, S. Jegelka, L. Song, C. Szepesvari,
G. Niu, and S. Sabato (eds.), Proceedings of the 39th International Conference on Machine Learning,
volume 162 of Proceedings of Machine Learning Research, pp. 435–451. PMLR, 17–23 Jul 2022. URL
https://proceedings.mlr.press/v162/ali22a.html.",2022,https://proceedings.mlr.press/v162/ali22a.html.
"A. Ali, I. Zimerman, and L. Wolf. The hidden attention of mamba models, 2024.",2024,
"K. Amara, R. Sevastjanova, and M. El-Assady. Syntaxshap: Syntax-aware explainability method for text
generation. ArXiv, abs/2402.09259, 2024. URL https://api.semanticscholar.org/CorpusID:
267657673.",2024,"https://api.semanticscholar.org/CorpusID:
267657673."
"C. Anil, Y. Wu, A. J. Andreassen, A. Lewkowycz, V. Misra, V. V. Ramasesh, A. Slone, G. Gur-Ari, E. Dyer,
and B. Neyshabur. Exploring length generalization in large language models. In A. H. Oh, A. Agarwal,
D. Belgrave, and K. Cho (eds.), Advances in Neural Information Processing Systems, 2022. URL https:
//openreview.net/forum?id=zSkYVeX7bC4.",2022,"https:
//openreview.net/forum?id=zSkYVeX7bC4."
"Anonymous. The disagreement problem in explainable machine learning: A practitioner’s perspective. Submitted to Transactions on Machine Learning Research, 2024. URL https://openreview.net/forum?id=
jESY2WTZCe. Under review.",2024,"https://openreview.net/forum?id=
jESY2WTZCe. Under review."
