paper,publication date (first revision),link,model family,model,param count,other models studied,notes,MMLU Accuracy
"S. Marks, C. Rager, E. J. Michaud, Y. Belinkov, D. Bau, and A. Mueller. Sparse feature circuits: Discovering and editing interpretable causal graphs in language models.",2024-03-28,https://arxiv.org/abs/2403.19647,Pythia,Pythia 70M,70000000,trained an SAE on pythia-70M activations,,25.9
B. Wright and L. Sharkey. Addressing feature suppression in saes.,2024-02-16,https://www.alignmentforum.org/posts/3JuSjTZyMzaSeTxKk/addressing-feature-suppression-in-saes,Pythia,Pythia 70M,70000000,,,25.9
"L. Quirke, L. Heindrich, W. Gurnee, and N. Nanda. Training dynamics of contextual n-grams in language
models.",2023-11-01,https://arxiv.org/abs/2311.00863,Pythia,Pythia 70M,70000000,Pythia 70M,,25.9
"A. Geiger, Z. Wu, H. Lu, J. Rozner, E. Kreiss, T. Icard, N. D. Goodman, and C. Potts. Inducing causal structure
for interpretable neural networks.",2021-12-1,https://arxiv.org/abs/2112.00826,BERT,BERT-base,110000000,,,0
"A. Geiger, H. Lu, T. Icard, and C. Potts. Causal abstractions of neural networks. ",2021-06-06,https://arxiv.org/abs/2106.02997,BERT,BERT-base,110000000,also studied a bilstm,,0
"Y. Elazar, S. Ravfogel, A. Jacovi, and Y. Goldberg. Amnesic probing: Behavioral explanation with amnesic
counterfactuals. ",2020-06-01,https://arxiv.org/abs/2006.00995,BERT,BERT-base,110000000,,,0
"A. Geiger, K. Richardson, and C. Potts. Neural natural language inference models partially embed theories
of lexical entailment and negation.",2020-04-30,https://arxiv.org/abs/2004.14623,BERT,BERT-base,110000000,also studied a bilstm and esim,,0
"G. Brunner, Y. Liu, D. Pascual, O. Richter, M. Ciaramita, and R. Wattenhofer. On identifiability in transformers.
",2019-08-12,https://arxiv.org/abs/1908.04211,BERT,BERT-base,110000000,,,0
"J. Bastings, S. Ebert, P. Zablotskaia, A. Sandholm, and K. Filippova. “will you find these shortcuts?” a
protocol for evaluating the faithfulness of input salience methods for text classification. ",2021-11-14,https://arxiv.org/abs/2111.07367,BERT,BERT-base,110000000,,,0
"H. Chefer, S. Gur, and L. Wolf. Transformer interpretability beyond attention visualization.",2020-10-17,https://arxiv.org/abs/2012.09838,BERT,BERT-base,110000000,,,0
"X. Han, B. C. Wallace, and Y. Tsvetkov. Explaining black box predictions and unveiling data artifacts
through influence functions.",2020-05-14,https://arxiv.org/abs/2005.06676,BERT,BERT-base,110000000,,,0
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Attention is not only a weight: Analyzing transformers
with vector norms.",2020-04-21,https://arxiv.org/abs/2004.10102,BERT,BERT-base,110000000,,,0
"K. Clark, U. Khandelwal, O. Levy, and C. D. Manning. What does BERT look at? an analysis of BERT’s
attention.",2019-06-11,https://arxiv.org/abs/1906.04341,BERT,BERT-base,110000000,,,0
