paper,affiliation,non-academia,publication date (first revision),link,model family,model,param count,other models studied,mmlu_accuracy,arc_accuracy,hellaswag_accuracy,notes
"A. Arditi, O. Balcells, A. Syed, W. Gurnee, and N. Nanda. Refusal in llms is mediated by a single direction.",MATS,FALSE,2024-06-17,https://arxiv.org/abs/2406.11717,QWEN Chat ,QWEN Chat 72B,72000000000,"Qwen chat 1.8B, 7B, 14B, 72B
Gemma instruction-tuned 2B, 7B
Yi chat 6B, 34B
Llama-3 instruct 8B, 70B",77.48,68.26,86.47,
"W. Wu, Y. Wang, G. Xiao, H. Peng, and Y. Fu. Retrieval head mechanistically explains long-context factuality.","Peking University, University of Washington, MIT, UIUC, University of Edinburgh",FALSE,2024-04-24,https://arxiv.org/abs/2404.15574,Yi,Yi-34B,34000000000,"Llama2-7b, Llama2-13B, mistral-7B, mixtral-8x7B, Yi-6B, Yi-34B, Qwen1.5-14B",76.35,64.59,85.69,
"A. Madsen, S. Chandar, and S. Reddy. Are self-explanations from large language models faithful? ArXiv,
abs/2401.07927.",Mila – Quebec AI Institute 2 Polytechnique Montréal 3 McGill University 4 Canada CIFAR AI Chair 5 Facebook CIFAR AI Chair,TRUE,2024-01-15,https://arxiv.org/abs/2401.07927,Llama-2,Llama-2 70B,70000000000,"Llama2 (7B), Falcon (40B, 7B),
and Mistral (7B)",69.83,67.32,86.315,
"A. Variengien and E. Winsor. Look before you leap: A universal emergent decomposition of retrieval tasks in
language models.","École Normale Supérieure de Lyon,
École Polytechnique Fédérale de Lausanne, Conjecture",TRUE,2023-12-13,https://arxiv.org/abs/2312.10091,Llama-2,Llama-2 70B,70000000000,"GPT-2, Pythia, falcon and Llama-2 in all available sizes",69.83,67.32,86.315,
"A. Zou, L. Phan, S. Chen, J. Campbell, P. Guo, R. Ren, A. Pan, X. Yin, M. Mazeika, A.-K. Dombrowski,
S. Goel, N. Li, M. J. Byun, Z. Wang, A. Mallen, S. Basart, S. Koyejo, D. Song, M. Fredrikson, J. Z. Kolter,
and D. Hendrycks. Representation engineering: A top-down approach to ai transparency.","1Center for AI Safety
2Carnegie Mellon University
3UC Berkeley
4Stanford University
5EleutherAI
6University of Maryland
7Cornell University
8University of Pennsylvania
9University of Illinois Urbana-Champaign",TRUE,2023-10-2,https://arxiv.org/abs/2310.01405,Llama-2,Llama-2 70B,70000000000,,69.83,67.32,86.315,
"E. Todd, M. Li, A. S. Sharma, A. Mueller, B. C. Wallace, and D. Bau. LLMs represent contextual tasks as
compact function vectors. ",Northeastern,FALSE,2023-10-23,https://arxiv.org/abs/2310.15213,Llama-2,Llama-2 70B,70000000000,"Llama-2 13B and 7B, GPT-J (6B), GPT-NeoX (20B)",69.83,67.32,86.315,
"G. Monea, M. Peyrard, M. Josifoski, V. Chaudhary, J. Eisner, E. Kıcıman, H. Palangi, B. Patra, and R. West.
A glitch in the matrix? locating and detecting language model grounding with fakepedia.","EPFL, Microsoft, Univ. Grenoble Alpes",TRUE,2023-12-04,https://arxiv.org/abs/2312.02073,Llama-2,Llama-2 70B,70000000000,,69.83,67.32,86.315,
"G. Xiao, Y. Tian, B. Chen, S. Han, and M. Lewis. Efficient streaming language models with attention sinks.
Arxiv.","MIT, Meta, CMU, NVIDIA",TRUE,2023-09-29,https://arxiv.org/abs/2309.17453,Llama-2,Llama-2 70B,70000000000,"Llama-2-[7,13,70]B, Falcon-[7,40]B, Pythia-[2.8,6.9,12]B, and MPT-[7,30]B",69.83,67.32,86.315,
"H. Chen, C. Vondrick, and C. Mao. Selfie: Self-interpretation of large language model embeddings.",Columbia,FALSE,2024-03-16,https://arxiv.org/abs/2403.10949,Llama-2,Llama-2 70B,70000000000,,69.83,67.32,86.315,
"M. Yuksekgonul, V. Chandrasekaran, E. Jones, S. Gunasekar, R. Naik, H. Palangi, E. Kamar, and B. Nushi.
Attention satisfies: A constraint-satisfaction lens on factual errors of language models. ","Stanford, UIUC, UC Berkeley, Microsoft",TRUE,2023-09-26,https://arxiv.org/abs/2309.15098,Llama-2,Llama-2 70B,70000000000,"Llama2-7B, Llama2-13B, Llama2-70B",69.83,67.32,86.315,
"N. Y. Siegel, O.-M. Camburu, N. Heess, and M. Perez-Ortiz. The probabilities also matter: A more faithful
metric for faithfulness of free-text explanations in large language models.","Google Deepmind, University College London",TRUE,2024-04-04,https://arxiv.org/abs/2404.03189,Llama-2,Llama-2 70B,70000000000,Llama2-7b Llama2-13b Llama2-70b,69.83,67.32,86.315,
"S. Chen, M. Xiong, J. Liu, Z. Wu, T. Xiao, S. Gao, and J. He. In-context sharpness as alerts: An inner representation perspective for hallucination mitigation.","Stanford, Penn State, City University of Hon Kong, National University of Singapore, Shanghai Jiao Tong University, Hong Kong University of Science and Technology",FALSE,2024-03-03,https://arxiv.org/abs/2403.01548,Llama-2,Llama-2 70B,70000000000,Llama-2 models (chat),69.83,67.32,86.315,
S. Marks and M. Tegmark. The geometry of truth: Emergent linear structure in large language model representations of true/false datasets.,"Northeastern, MIT",FALSE,2023-10-10,https://arxiv.org/abs/2310.06824,Llama-2,Llama-2 70B,70000000000,Used both Llama-2-13B and Llama-2-70B,69.83,67.32,86.315,
"T. Tang, W. Luo, H. Huang, D. Zhang, X. Wang, X. Zhao, F. Wei, and J.-R. Wen. Language-specific neurons:
The key to multilingual capabilities in large language models.","Gaoling School of Artificial Intelligence, Renmin University of China,  Microsoft Research Asia",TRUE,2024-02-26,https://arxiv.org/abs/2402.16438,Llama-2,Llama-2 70B,70000000000,"Llama-2 (70E10), Llama-2 (7E9), Llama-2 (1.3E10), BLOOM (7E9), OPT (6.7E9) Mistral (7E9), Phi-2 (2.7E9)",69.83,67.32,86.315,
W. Gurnee and M. Tegmark. Language models represent space and time.,MIT,FALSE,2023-10-03,https://arxiv.org/abs/2310.02207,Llama-2,Llama-2 70B,70000000000,Llama-2-70B,69.83,67.32,86.315,
