paper,year,link,model family,model,param count,notes,affiliations
"S. Marks, C. Rager, E. J. Michaud, Y. Belinkov, D. Bau, and A. Mueller. Sparse feature circuits: Discovering and editing interpretable causal graphs in language models. Computing Research Repository,
arXiv:2403.19647, 2024. URL https://arxiv.org/abs/2403.19647.",2024,https://arxiv.org/abs/2403.19647,pythia,Pythia-70M,70000000,trained an SAE on pythia-70M activations,
"B. Wright and L. Sharkey. Addressing feature suppression in saes. AI ALIGNMENT FORUM, 2024. URL
https://www.alignmentforum.org/posts/3JuSjTZyMzaSeTxKk/addressing-feature-suppression
-in-saes.",2024,https://www.alignmentforum.org/posts/3JuSjTZyMzaSeTxKk/addressing-feature-suppression-in-saes,pythia,pythia-70m,70000000,,MATS
"W. Gurnee. Sae reconstruction errors are (empirically) pathological. AI Alignment Forum, 2024. URL https:
//www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empir
ically-pathological.",2024,https://www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empirically-pathological,gpt-2,GPT2-small,124000000,,
"C. Kissane, R. Krzyzanowski, A. Conmy, and N. Nanda. Attention saes scale to gpt-2 small. AI Alignment
Forum, 2024b. URL https://www.alignmentforum.org/posts/FSTRedtjuHa4Gfdbr/attention-sae
s-scale-to-gpt-2-small.",2024,https://www.alignmentforum.org/posts/FSTRedtjuHa4Gfdbr/attention-saes-scale-to-gpt-2-small,gpt-2,gpt-2-small,124000000,,MATS
"J. Bloom and J. Lin. Understanding SAE features with the logit lens. AI Alignment Forum, 2024. URL
https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-wit
h-the-logit-lens.",2024,https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-with-the-logit-lens,gpt-2,gpt2-small,124000000,,
"J. Bloom. Open source sparse autoencoders for all residual stream layers of GPT2 small. AI Alignment Forum,
2024. URL https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-a
utoencoders-for-all-residual-stream.",2024,https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-autoencoders-for-all-residual-stream,gpt-2,gpt2-small,124000000,,
"M. Hanna, S. Pezzelle, and Y. Belinkov. Have faith in faithfulness: Going beyond circuit overlap when finding
model mechanisms, 2024. URL https://arxiv.org/abs/2403.17806.",2024,https://arxiv.org/abs/2403.17806,gpt-2,gpt2-small,124000000,,
"R. Krzyzanowski, C. Kissane, A. Conmy, and N. Nanda. We inspected every head in GPT-2 small using saes
so you don’t have to. AI Alignment Forum, 2024. URL https://www.alignmentforum.org/posts/xme
geW5mqiBsvoaim/we-inspected-every-head-in-gpt-2-small-using-saes-so-you-don.",2024,https://www.alignmentforum.org/posts/xmegeW5mqiBsvoaim/we-inspected-every-head-in-gpt-2-small-using-saes-so-you-don,gpt-2,gpt2-small,124000000,,
"J. Ferrando and E. Voita. Information flow routes: Automatically interpreting language models at scale. Arxiv,
2024. URL https://arxiv.org/abs/2403.00824.",2024,https://arxiv.org/abs/2403.00824,opt-2,OPT2-small,125000000,and gpt2-small,
"N. Stoehr, M. Gordon, C. Zhang, and O. Lewis. Localizing paragraph memorization in language models, 2024.
URL https://arxiv.org/abs/2403.19851.",2024,https://arxiv.org/abs/2403.19851,gpt-neo,,125000000,gpt-neo 125m,
"C. Rushing and N. Nanda. Explorations of self-repair in language models, 2024. URL https://arxiv.org/
abs/2402.15390.",2024,https://arxiv.org/abs/2402.15390,pythia,pythia,160000000,,University of Texas at Austin
"S. Katz, Y. Belinkov, M. Geva, and L. Wolf. Backward lens: Projecting language model gradients into the
vocabulary space, 2024.",2024,https://arxiv.org/abs/2402.12865,gpt-2,GPT2,330000000,"I'm quoting the parameter count they mention in the paper, but everyone seems to think gpt2-medium has a different number of parameters.",
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Analyzing feed-forward blocks in transformers through
the lens of attention map. In The Twelfth International Conference on Learning Representations, 2024. URL
https://openreview.net/forum?id=mYWsyTuiRp.",2024,https://openreview.net/forum?id=mYWsyTuiRp,bert,BERT-large,340000000,"but also many other smaller models, incl. 5 other variants of BERT and GPT-2-small",
"J. Merullo, C. Eickhoff, and E. Pavlick. Circuit component reuse across tasks in transformer language models.
In The Twelfth International Conference on Learning Representations, 2024. URL https://openreview
.net/forum?id=fpoAYV6Wsk.",2024,https://openreview.net/forum?id=fpoAYV6Wsk,gpt-2,GPT2-Medium,355000000,,
"G. Sarti, G. Chrupała, M. Nissim, and A. Bisazza. Quantifying the plausibility of context reliance in neural
machine translation. In The Twelfth International Conference on Learning Representations (ICLR 2024),
Vienna, Austria, May 2024. OpenReview. URL https://openreview.net/forum?id=XTHfNGI3zT.",2024,https://openreview.net/forum?id=XTHfNGI3zT,,MBART,680000000,,
"C. Neo, S. B. Cohen, and F. Barez. Interpreting context look-ups in transformers: Investigating attention-mlp
interactions, 2024. URL https://arxiv.org/abs/2402.15055.",2024,https://arxiv.org/abs/2402.15055,gpt-2,gpt-2 large,774000000,,"♡Apart Research
♢School of Informatics, University of Edinburgh
♣Department of Engineering Sciences, University of Oxford
♠School of Computer Science and Engineering, Nanyang Technological University"
"S. Rajamanoharan. Progress update 1 from the gdm mech interp team. improving ghost grads. AI Alignment
Forum, 2024. URL https://www.alignmentforum.org/posts/C5KAZQib3bzzpeyrg/progress-updat
e-1-from-the-gdm-mech-interp-team-full-update.",2024,https://www.alignmentforum.org/posts/C5KAZQib3bzzpeyrg/progress-update-1-from-the-gdm-mech-interp-team-full-update,,GPT-2-XL,1500000000,,
"W. Gurnee, T. Horsley, Z. C. Guo, T. R. Kheirkhah, Q. Sun, W. Hathaway, N. Nanda, and D. Bertsimas.
Universal neurons in gpt2 language models, 2024.",2024,Universal neurons in gpt2 language models,,GPT2-XL,1500000000,,
"F. Zhang and N. Nanda. Towards best practices of activation patching in language models: Metrics and methods.
In The Twelfth International Conference on Learning Representations, 2024. URL https://openreview
.net/forum?id=Hf17y6u9BC.",2024,https://openreview.net/forum?id=Hf17y6u9BC,,GPT-2-XL,1500000000,GPT-small,
"B. Chughtai, A. Cooney, and N. Nanda. Summing up the facts: Additive mechanisms behind factual recall in
llms, 2024. URL https://www.arxiv.org/abs/2402.07321.",2024,https://www.arxiv.org/abs/2402.07321,,gpt-2,1610000000,"pythia 2.8b, gpt-j",independent
"N. Wichers, C. Denison, and A. Beirami. Gradient-based language model red teaming, 2024.",2024,,,,2000000000,LaMDA,
"Q. Liu, Y. Chai, S. Wang, Y. Sun, K. Wang, and H. Wu. On training data influence of gpt models. Arxiv, 2024.
URL https://arxiv.org/abs/2404.07840.",2024,https://arxiv.org/abs/2404.07840,,,2800000000,Pythia (range of sizes),
