paper,publication date (first revision),link,model family,model,param count,notes,
"Z. Wu, A. Geiger, T. Icard, C. Potts, and N. Goodman. Interpretability at scale: Identifying causal mechanisms
in alpaca.",2023-05-15,https://arxiv.org/abs/2305.08809,,Alpaca,7000000000,notes,
"N. De Cao, W. Aziz, and I. Titov. Editing factual knowledge in language models.",2021-04-16,https://arxiv.org/abs/2104.08164,bart,BART base,139000000,BERT (fintuned),
"V. Lal, A. Ma, E. Aflalo, P. Howard, A. Simoes, D. Korat, O. Pereg, G. Singer, and M. Wasserblat. InterpreT: An
interactive visualization tool for interpreting transformers.",2021-04-19,https://aclanthology.org/2021.eacl-demos.17,bert,BERT,340000000,,no arxiv
"T. McCoy, E. Pavlick, and T. Linzen. Right for the wrong reasons: Diagnosing syntactic heuristics in natural
language inference.",2019-02-04,https://arxiv.org/abs/1902.01007,,BERT,340000000,"used BERT, ESIM, SPINN, and DA. BERT is the only transformer. ESIM is an RNN, SPINN is a TreeRNN, DA is a bag-of-words.",
"Y. Lin, Y. C. Tan, and R. Frank. Open sesame: Getting inside BERT’s linguistic knowledge. ",2019-06-04,https://arxiv.org/abs/1906.01698,,BERT,340000000,notes,
"G. Brunner, Y. Liu, D. Pascual, O. Richter, M. Ciaramita, and R. Wattenhofer. On identifiability in transformers.
",2019-08-12,https://arxiv.org/abs/1908.04211,,BERT,110000000,,
"T. Pimentel, J. Valvoda, R. H. Maudslay, R. Zmigrod, A. Williams, and R. Cotterell. Information-theoretic
probing for linguistic structure.",2020-04-07,https://arxiv.org/abs/2004.03061,,BERT,340000000,also used fastText and one-hot encoding vectors,
"A. Geiger, K. Richardson, and C. Potts. Neural natural language inference models partially embed theories
of lexical entailment and negation.",2020-04-30,https://arxiv.org/abs/2004.14623,bert,bert,110000000,also studied a bilstm and esim,
"Y. Elazar, S. Ravfogel, A. Jacovi, and Y. Goldberg. Amnesic probing: Behavioral explanation with amnesic
counterfactuals. ",2020-06-01,https://arxiv.org/abs/2006.00995,bert,BERT,110000000,,
"T. Bolukbasi, A. Pearce, A. Yuan, A. Coenen, E. Reif, F. Viégas, and M. Wattenberg. An interpretability illusion
for BERT.",2021-04-21,https://arxiv.org/abs/2104.07143,bert,BERT,340000000,,
"D. Dai, L. Dong, Y. Hao, Z. Sui, B. Chang, and F. Wei. Knowledge neurons in pretrained transformers. ",2021-04-18,https://arxiv.org/abs/2104.08696,,bert,110000000,,
"A. Geiger, H. Lu, T. Icard, and C. Potts. Causal abstractions of neural networks. ",2021-06-06,https://arxiv.org/abs/2106.02997,bert,bert,110000000,also studied a bilstm,
"A. Geiger, Z. Wu, H. Lu, J. Rozner, E. Kreiss, T. Icard, N. D. Goodman, and C. Potts. Inducing causal structure
for interpretable neural networks.",2021-12-1,https://arxiv.org/abs/2112.00826,,bert,110000000,,
