,index,param count,year,date,Type
0,13,340000000,2019,2019-02-04,Models used in research
1,189,340000000,2019,2019-03-21,Models used in research
2,80,124000000,2019,2019-05-15,Models used in research
3,28,340000000,2019,2019-05-15,Models used in research
4,188,110000000,2019,2019-05-25,Models used in research
5,27,340000000,2019,2019-06-01,Models used in research
6,12,340000000,2019,2019-06-04,Models used in research
7,21,110000000,2019,2019-06-11,Models used in research
8,79,124000000,2019,2019-06-12,Models used in research
9,11,110000000,2019,2019-08-12,Models used in research
10,187,110000000,2019,2019-08-21,Models used in research
11,78,124000000,2019,2019-09-02,Models used in research
12,38,130000000,2019,2019-09-08,Models used in research
13,47,137000000,2019,2019-10-11,Models used in research
14,20,120000000,2019,2019-11-08,Models used in research
15,186,110000000,2019,2019-11-27,Models used in research
16,31,336000000,2020,2020-02-27,Models used in research
17,37,5500000000,2020,2020-03-27,Models used in research
18,10,340000000,2020,2020-04-07,Models used in research
19,19,110000000,2020,2020-04-21,Models used in research
20,9,110000000,2020,2020-04-30,Models used in research
21,185,340000000,2020,2020-04-30,Models used in research
22,18,110000000,2020,2020-05-14,Models used in research
23,70,774000000,2020,2020-05-15,Models used in research
24,8,110000000,2020,2020-06-01,Models used in research
25,184,125000000,2020,2020-08-30,Models used in research
26,183,110000000,2020,2020-09-25,Models used in research
27,17,110000000,2020,2020-10-17,Models used in research
28,142,220000000,2020,2020-10-19,Models used in research
29,137,125000000,2020,2020-11-09,Models used in research
30,83,1500000000,2020,2020-12-06,Models used in research
31,182,247000000,2020,2020-12-29,Models used in research
32,181,770000000,2021,2021-02-25,Models used in research
33,1,139000000,2021,2021-04-16,Models used in research
34,7,110000000,2021,2021-04-18,Models used in research
35,6,340000000,2021,2021-04-19,Models used in research
36,5,340000000,2021,2021-04-21,Models used in research
37,180,770000000,2021,2021-05-14,Models used in research
38,4,110000000,2021,2021-06-06,Models used in research
39,179,110000000,2021,2021-07-01,Models used in research
40,132,354000000,2021,2021-08-31,Models used in research
41,68,117000000,2021,2021-09-09,Models used in research
42,136,125000000,2021,2021-09-15,Models used in research
43,69,774000000,2021,2021-09-30,Models used in research
44,143,11000000000,2021,2021-10-21,Models used in research
45,16,110000000,2021,2021-11-14,Models used in research
46,3,110000000,2021,2021-12-01,Models used in research
47,2,340000000,2022,2022-01-28,Models used in research
48,82,1500000000,2022,2022-02-10,Models used in research
49,178,2700000000,2022,2022-02-21,Models used in research
50,15,120000000,2022,2022-03-08,Models used in research
51,146,550000000,2022,2022-03-22,Models used in research
52,177,124000000,2022,2022-03-28,Models used in research
53,176,774000000,2022,2022-04-26,Models used in research
54,30,336000000,2022,2022-05-06,Models used in research
55,112,418000000,2022,2022-05-23,Models used in research
56,135,125000000,2022,2022-05-23,Models used in research
57,115,580000000,2022,2022-05-23,Models used in research
58,25,110000000,2022,2022-06-07,Models used in research
59,141,770000000,2022,2022-06-13,Models used in research
60,145,550000000,2022,2022-06-27,Models used in research
61,120,175000000000,2022,2022-08-15,Models used in research
62,53,355000000,2022,2022-09-06,Models used in research
63,46,1500000000,2022,2022-09-28,Models used in research
64,175,3300000000,2022,2022-10-06,Models used in research
65,49,355000000,2022,2022-10-07,Models used in research
66,63,20000000000,2022,2022-10-13,Models used in research
67,118,13000000000,2022,2022-10-27,Models used in research
68,174,124000000,2022,2022-11-01,Models used in research
69,134,125000000,2022,2022-11-14,Models used in research
70,45,774000000,2022,2022-11-28,Models used in research
71,140,11000000000,2022,2022-12-07,Models used in research
72,44,1610000000,2023,2023-01-04,Models used in research
73,168,6000000000,2023,2023-01-10,Models used in research
74,62,6000000000,2023,2023-01-19,Models used in research
75,133,125000000,2023,2023-01-30,Models used in research
76,26,340000000,2023,2023-02-01,Models used in research
77,52,124000000,2023,2023-02-04,Models used in research
78,24,110000000,2023,2023-03-05,Models used in research
79,166,2700000000,2023,2023-03-14,Models used in research
80,29,336000000,2023,2023-03-16,Models used in research
81,165,1500000000,2023,2023-04-12,Models used in research
82,95,7000000000,2023,2023-04-26,Models used in research
83,167,6000000000,2023,2023-04-28,Models used in research
84,51,124000000,2023,2023-04-28,Models used in research
85,161,124000000,2023,2023-04-30,Models used in research
86,128,6900000000,2023,2023-05-02,Models used in research
87,164,1500000000,2023,2023-05-06,Models used in research
88,0,7000000000,2023,2023-05-15,Models used in research
89,116,125000000,2023,2023-05-17,Models used in research
90,32,1100000000,2023,2023-05-21,Models used in research
91,66,355000000,2023,2023-05-22,Models used in research
92,64,20000000000,2023,2023-05-22,Models used in research
93,59,1500000000,2023,2023-05-23,Models used in research
94,87,7000000000,2023,2023-05-24,Models used in research
95,34,176000000000,2023,2023-05-25,Models used in research
96,14,120000000,2023,2023-05-25,Models used in research
97,138,125000000,2023,2023-06-05,Models used in research
98,86,7000000000,2023,2023-06-06,Models used in research
99,23,110000000,2023,2023-06-06,Models used in research
100,22,110000000,2023,2023-06-22,Models used in research
101,144,13000000000,2023,2023-07-08,Models used in research
102,131,354000000,2023,2023-07-09,Models used in research
103,36,70000000000,2023,2023-07-18,Models used in research
104,35,7000000000,2023,2023-07-23,Models used in research
105,43,774000000,2023,2023-07-23,Models used in research
106,61,6000000000,2023,2023-08-17,Models used in research
107,103,8000000000,2023,2023-08-20,Models used in research
108,104,65000000000,2023,2023-09-07,Models used in research
109,117,66000000000,2023,2023-09-09,Models used in research
110,160,124000000,2023,2023-09-13,Models used in research
111,125,410000000,2023,2023-09-15,Models used in research
112,58,1500000000,2023,2023-09-19,Models used in research
113,173,70000000000,2023,2023-09-26,Models used in research
114,57,1500000000,2023,2023-09-27,Models used in research
115,110,70000000000,2023,2023-09-29,Models used in research
116,129,7000000000,2023,2023-10-01,Models used in research
117,102,70000000000,2023,2023-10-02,Models used in research
118,113,680000000,2023,2023-10-02,Models used in research
119,99,13000000000,2023,2023-10-02,Models used in research
120,96,70000000000,2023,2023-10-03,Models used in research
121,84,6000000000,2023,2023-10-03,Models used in research
122,39,11300000000,2023,2023-10-05,Models used in research
123,55,124000000,2023,2023-10-06,Models used in research
124,100,70000000000,2023,2023-10-10,Models used in research
125,71,355000000,2023,2023-10-12,Models used in research
126,33,3000000000,2023,2023-10-16,Models used in research
127,50,124000000,2023,2023-10-16,Models used in research
128,88,70000000000,2023,2023-10-23,Models used in research
129,42,137000000,2023,2023-10-23,Models used in research
130,163,1400000000,2023,2023-10-24,Models used in research
131,172,30000000000,2023,2023-10-24,Models used in research
132,159,124000000,2023,2023-10-25,Models used in research
133,67,410000000,2023,2023-10-26,Models used in research
134,158,70000000,2023,2023-11-01,Models used in research
135,162,355000000,2023,2023-11-07,Models used in research
136,94,7000000000,2023,2023-11-07,Models used in research
137,109,70000000000,2023,2023-12-04,Models used in research
138,98,70000000000,2023,2023-12-13,Models used in research
139,170,7000000000,2023,2023-12-14,Models used in research
140,105,7000000000,2023,2023-12-19,Models used in research
141,169,7000000000,2023,2023-12-21,Models used in research
142,171,13000000000,2023,2023-12-28,Models used in research
143,108,7000000000,2024,2024-01-09,Models used in research
144,93,13000000000,2024,2024-01-11,Models used in research
145,97,70000000000,2024,2024-01-15,Models used in research
146,60,6000000000,2024,2024-01-15,Models used in research
147,81,1500000000,2024,2024-01-22,Models used in research
148,77,124000000,2024,2024-01-23,Models used in research
